imdb_title_id	title	original_title	year	date_published	genre	duration	country	language	director	writer	production_company	actors	description	avg_vote	votes	budget	usa_gross_income	worlwide_gross_income	metascore	reviews_from_users	reviews_from_critics
tt8900082	Commando Ninja	Commando Ninja	2018	2018-12-21	Action, Comedy	68	France	English, French	Benjamin Combes	Benjamin Combes	Benjamin Combes	Eric Carlesi, Philippe Allier, Stéphane Asensio, Olivier Dobremel, Thémann Fagour, Cécile Fargues, Bob Feeser, Ludwig Oblin, Thyra Hann Phonephet, Charlotte Poncin, Anaëlle Rincent	John Hunter is Vietnam Green Beret Veteran, Half Commando, Half Ninja, whose daughter has been abducted by a secret Ninja Organization, led by a Central-American dictator, who wants to create a new-world order - through time.	6.8	354	EUR 35000				4.0	6.0
tt8900098	Deslembro	Deslembro	2018	2019-06-20	Drama	96	Brazil	Spanish, Portuguese, French	Flávia Castro	Flávia Castro	Flauk Filmes	Jeanne Boudier, Sara Antunes, Eliane Giardini, Julián Marras, Hugo Abranches, Arthur Raynaud, Jesuíta Barbosa, Marcio Vito, Gabriela Carneiro da Cunha, Carol Condé, Ricardo Gonçalves, Lucas Inácio, Natasha Jascalevich, Félix Sabal Lecco, Charlie Loiselier	In 1979 a teenage girl emigrates back to Brazil from Paris, plunging her into the political and social storm of that country, and forcing her to confront the disappearance of her father many years earlier.	7.2	282						5.0
tt8900142	Yom Adaatou Zouli	Yom Adaatou Zouli	2018	2019-09-28	Drama	94	Syria, France, Lebanon, Qatar	Arabic	Soudade Kaadan	Soudade Kaadan	KAF Production	Reham Alkassar, Sawsan Arshid, Samer Ismail, Oweiss Mkhallalati	In Syria in 2012 a mother ventures into a war zone to find a gas cylinder so she can prepare a meal for her son. She discovers that in the besieged area the people there have lost their shadows.	5.9	143					1.0	8.0
tt8900172	Chelovek, kotoryy udivil vsekh	Chelovek, kotoryy udivil vsekh	2018	2018-10-25	Drama	105	Russia, France, Estonia	Russian	Aleksey Chupov, Natasha Merkulova	Aleksey Chupov, Natasha Merkulova	Arizona Productions	Evgeniy Tsyganov, Natalya Kudryashova, Yuriy Kuznetsov, Aleksey Filimonov, Pavel Maykov, Igor Savochkin, Maksim Vitorgan, Elena Voronchikhina	When a Siberian state forest guard discovers he has cancer and only two months left to live he chooses to take the identity of a woman as a way of fighting the disease.	6.6	621			$ 113717		3.0	21.0
tt8900302	Kucumbu Tubuh Indahku	Kucumbu Tubuh Indahku	2018	2019-04-18	Drama	105	Indonesia	Indonesian	Garin Nugroho	Garin Nugroho	Fourcoulours Films	Muhammad Khan, Raditya Evandra, Rianto, Sujiwo Tejo, T. Rifnu Wikana, Randy Pangalila, Whani Darmawan, Dorothea Quin Haryati, Endah Laras, Mbok Tun, Cahwati Sugiarto, Fajar Suharno, Windarti, Anneke Fitriani, Anja Lilani Ariella	A pre-teen boy who abandoned by his father joins a Lengger dance center where men assume feminine appearances, but the political and social upheaval in Indonesia forces him to move away and meet with remarkable people on his journey.	7.5	337					6.0	8.0
tt8900984	Dark, Deadly & Dreadful	Dark, Deadly & Dreadful	2018	2018-07-28	Horror	87	USA	English	Luke Jaden, Jeanne Jo	Chris LaMont	Fun Size Horror Productions	Jessee Foudray	"Fun Size Horror Presents ""Dark, Deadly & Dreadful"", an anthology of short films from Fun Size Horror's community of filmmakers. Each film explores different themes in the horror genre all ..."	4.9	259					11.0	2.0
tt8901582	Saf	Saf	2018	2019-04-19	Drama	102	Turkey, Germany, Romania	Turkish, Arabic	Ali Vatansever	Ali Vatansever	Terminal Film	Erol Afsin, Saadet Aksoy, Onur Buldu, Emrullah Cakay, Nazli Cetinel, Gökhan Civan, Ümmü Putgül, Kida Khodr Ramadan, Ebru Ojen Sahin, Kutay Sandikci, Omer Tasli, Mihaela Trofimov, Taj Sher Yakub, Can Özmen	The Fikirtepe district of Istanbul. Urban transformation is sweeping away the poor communities and Syrian refugees take shelter in deserted buildings. Kamil and his wife Remziye risk losing...	6.3	359	EUR 530000		$ 7813			7.0
tt8902948	Tigertail	Tigertail	2020	2020-04-10	Drama	91	USA	English, Min Nan, Mandarin	Alan Yang	Alan Yang	MACRO	Tzi Ma, Christine Ko, Hong-Chi Lee, Yo-Hsing Fang, Fiona Fu, Joan Chen, Kuei-Mei Yang, James Saito, Hayden Szeto, Cindera Che, Muyi Chen, Zhi-Hao Yang, Hai-Yin Tsai, Lynn Cheng, Li Li Pang	In this multi-generational drama, a Taiwanese factory worker leaves his homeland to seek opportunity in America, where he struggles to find connection while balancing family and newfound responsibilities.	6.4	2552				65.0	37.0	63.0
tt8902990	The Sky Is Pink	The Sky Is Pink	2019	2019-12-05	Drama, Family, Romance	143	India, UK, Canada, USA	Hindi	Shonali Bose	Shonali Bose, Juhi Chaturvedi	Ivanhoe Pictures	Priyanka Chopra, Farhan Akhtar, Zaira Wasim, Rohit Saraf, Manas Mittal, Rajshri Deshpande, Lushin Dubey, Sunil Chitkara, Nirupama Verma, Puja Sarup, Jayesh Patil, Gurpal Singh, Sheena Khalid, Ishan Jotshi, Sudhanva Deshpande	Based on the love story of a couple spanning 25 years and told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with pulmonary fibrosis.	7.5	6427		$ 652592	$ 1088641	55.0	195.0	34.0
tt8903294	À cause des filles..?	À cause des filles..?	2019	2019-01-30	Comedy	96	France	French	Pascal Thomas	Nathalie Lafaurie, Nathalie Lafaurie	PM SA	José Garcia, Valérie Decobert-Koretzky, Elisa Alessandro, Rossy de Palma, François Morel, Barbara Schulz, Arthur Teboul, Audrey Fleurot, Louis-Do de Lencquesaing, Pierre Richard, Marie-Agnès Gillot, Bernard Menez, Sophie Mounicot, Tina Sportolaro, Irène Jacob	A comedy of characters on the theme of seduction and the eternal misunderstanding between the sexes.	5.0	132			$ 106143		1.0	1.0
